,main_team,goal_no_goal,0
0,Atalanta,Goal,14
1,Atalanta,No Goal,13
2,Bologna,Goal,16
3,Bologna,No Goal,11
4,Cremonese,Goal,15
5,Cremonese,No Goal,12
6,Empoli,No Goal,14
7,Empoli,Goal,13
8,Fiorentina,Goal,14
9,Fiorentina,No Goal,13
10,Inter,Goal,14
11,Inter,No Goal,13
12,Juventus,No Goal,20
13,Juventus,Goal,7
14,Lazio,No Goal,18
15,Lazio,Goal,9
16,Lecce,Goal,15
17,Lecce,No Goal,12
18,Milan,Goal,18
19,Milan,No Goal,9
20,Monza,No Goal,14
21,Monza,Goal,13
22,Napoli,No Goal,16
23,Napoli,Goal,11
24,Roma,No Goal,15
25,Roma,Goal,12
26,Salernitana,Goal,14
27,Salernitana,No Goal,13
28,Sampdoria,No Goal,17
29,Sampdoria,Goal,10
30,Sassuolo,No Goal,14
31,Sassuolo,Goal,13
32,Spezia,No Goal,15
33,Spezia,Goal,12
34,Torino,Goal,14
35,Torino,No Goal,13
36,Udinese,Goal,17
37,Udinese,No Goal,10
38,Verona,Goal,15
39,Verona,No Goal,12
